title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk_around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
VHF APRS,144800000,144800000,0,0,H,25000,1,0,0,1,0,1,0,0
2M NAT CALL,146520000,146520000,0,0,H,25000,1,0,0,1,0,1,0,0
2M ADV CALL,146580000,146580000,0,0,H,25000,1,0,0,1,0,1,0,0
W5PAA W5PAA,146190000,146790000,10000,0,H,25000,1,0,0,0,0,0,0,0
WX5OKC WX5OKC,144810000,145410000,14130,0,H,25000,1,0,0,0,0,0,0,0
W5PAA W5PAA,146160000,146760000,14130,0,H,25000,1,0,0,0,0,0,0,0
W5MEL W5MEL,146220000,146820000,15140,0,H,25000,1,0,0,0,0,0,0,0
W5PAA W5PAA,146250000,146850000,14130,0,H,25000,1,0,0,0,0,0,0,0
W5PAA W5PAA,146385000,146985000,14130,0,H,25000,1,0,0,0,0,0,0,0
W5DEL W5DEL,146100000,146700000,16220,16220,H,25000,1,0,0,0,0,0,0,0
K5EOK K5EOK,147735000,147135000,797,0,H,25000,1,0,0,0,0,0,0,0
K5CAR K5CAR,147690000,147090000,14130,0,H,25000,1,0,0,0,0,0,0,0
K5UV K5UV,144550000,145150000,11480,11480,H,25000,1,0,0,0,0,0,0,0
W5NOR W5NOR,147660000,147060000,14130,0,H,25000,1,0,0,0,0,0,0,0
KG5BGO KG5BGO,144590000,145190000,13180,13180,H,25000,1,0,0,0,0,0,0,0
AE5CJ AE5CJ,146010000,146610000,0,0,H,25000,1,0,0,0,0,0,0,0
W5GLD W5GLD,146040000,146640000,10000,0,H,25000,1,0,0,0,0,0,0,0
W5SXA W5SXA,144790000,145390000,13180,0,H,25000,1,0,0,0,0,0,0,0
KD5WAV KD5WAV,146025000,146625000,13180,13180,H,25000,1,0,0,0,0,0,0,0
W5KS W5KS,144630000,145230000,8850,0,H,25000,1,0,0,0,0,0,0,0
K5SRC K5SRC,147855000,147255000,10720,10720,H,25000,1,0,0,0,0,0,0,0
WX5LAW WX5LAW,147870000,147270000,0,0,H,25000,1,0,0,0,0,0,0,0
